date,adm2_id,ADM2_PCODE,r1h,r1h_avg,r3h,r3h_avg,version
#date,#adm2+id,#adm2+code,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#status
2018-01-01,32692,YE1209,5.7417,6.0397,14.5083,15.5097,final
2018-01-11,32692,YE1209,4.6167,4.6856,14.5083,15.3467,final
2018-01-21,32692,YE1209,3.525,3.5239,14.7417,15.35,final
2018-02-01,32692,YE1209,4.2333,4.2636,15.7417,16.0733,final
2018-02-11,32692,YE1209,5.2333,5.2517,15.9583,16.3975,final
2018-02-21,32692,YE1209,6.0,6.0361,15.975,16.4631,final
2018-03-01,32692,YE1209,7.0083,7.1036,16.9833,17.4069,final
2018-03-11,32692,YE1209,8.05,8.2903,17.9,18.2275,final
2018-03-21,32692,YE1209,8.8167,9.3744,18.3417,18.9344,final
2018-04-01,32692,YE1209,7.3583,7.7603,18.6,19.1275,final
2018-04-11,32692,YE1209,4.7917,5.5064,18.075,19.0483,final
2018-04-21,32692,YE1209,2.725,3.2972,17.5417,18.7078,final
2018-05-01,32692,YE1209,2.525,3.4144,16.8917,18.2783,final
2018-05-11,32692,YE1209,6.3083,4.4025,19.15,18.1992,final
2018-05-21,32692,YE1209,6.9917,5.1147,18.5333,17.7864,final
2018-06-01,32692,YE1209,6.6,3.7911,16.4833,14.9658,final
2018-06-11,32692,YE1209,2.3417,1.9344,13.4417,11.8433,final
2018-06-21,32692,YE1209,1.8083,1.0908,11.525,9.5028,final
2018-07-01,32692,YE1209,3.3833,3.3375,12.5083,10.5431,final
2018-07-11,32692,YE1209,5.675,6.3386,14.325,12.6756,final
2018-07-21,32692,YE1209,7.0667,9.3656,15.8667,15.5711,final
2018-08-01,32692,YE1209,8.7167,11.6506,18.7,18.7792,final
2018-08-11,32692,YE1209,9.25,12.9742,17.2667,21.2472,final
2018-08-21,32692,YE1209,10.15,14.1642,19.025,24.6206,final
2018-09-01,32692,YE1209,8.3417,11.7667,20.4417,26.7547,final
2018-09-11,32692,YE1209,7.5167,9.3261,22.4417,28.6389,final
2018-09-21,32692,YE1209,6.1333,6.0286,23.35,29.5583,final
2018-10-01,32692,YE1209,4.7583,5.2433,21.8167,28.6606,final
2018-10-11,32692,YE1209,4.7,4.47,21.4667,26.7703,final
2018-10-21,32692,YE1209,3.9417,4.0192,20.225,24.2119,final
2018-11-01,32692,YE1209,3.9417,3.7,17.0417,20.71,final
2018-11-11,32692,YE1209,3.7833,4.2008,16.0,17.9969,final
2018-11-21,32692,YE1209,4.975,4.9231,15.05,14.9708,final
2018-12-01,32692,YE1209,5.975,5.77,14.675,14.7133,final
2018-12-11,32692,YE1209,6.3167,6.4603,14.8,15.1311,final
2018-12-21,32692,YE1209,6.45,6.9031,15.3667,15.8453,final
2019-01-01,32692,YE1209,5.6833,6.0397,15.6,15.5097,final
2019-01-11,32692,YE1209,4.5583,4.6856,14.6583,15.3467,final
2019-01-21,32692,YE1209,3.4,3.5239,14.825,15.35,final
2019-02-01,32692,YE1209,4.1667,4.2636,15.825,16.0733,final
2019-02-11,32692,YE1209,5.1667,5.2517,16.0417,16.3975,final
2019-02-21,32692,YE1209,6.0,6.0361,15.85,16.4631,final
2019-03-01,32692,YE1209,7.0,7.1036,16.85,17.4069,final
2019-03-11,32692,YE1209,8.0417,8.2903,17.7667,18.2275,final
2019-03-21,32692,YE1209,8.8083,9.3744,18.2083,18.9344,final
2019-04-01,32692,YE1209,6.8167,7.7603,17.9833,19.1275,final
2019-04-11,32692,YE1209,5.1833,5.5064,18.3917,19.0483,final
2019-04-21,32692,YE1209,3.05,3.2972,17.8583,18.7078,final
2019-05-01,32692,YE1209,3.4083,3.4144,17.225,18.2783,final
2019-05-11,32692,YE1209,6.2667,4.4025,19.4917,18.1992,final
2019-05-21,32692,YE1209,7.75,5.1147,19.6083,17.7864,final
2019-06-01,32692,YE1209,7.3417,3.7911,17.5667,14.9658,final
2019-06-11,32692,YE1209,3.075,1.9344,14.525,11.8433,final
2019-06-21,32692,YE1209,1.6167,1.0908,12.4167,9.5028,final
2019-07-01,32692,YE1209,2.8667,3.3375,13.6167,10.5431,final
2019-07-11,32692,YE1209,5.325,6.3386,14.6667,12.6756,final
2019-07-21,32692,YE1209,13.3583,9.3656,22.725,15.5711,final
2019-08-01,32692,YE1209,13.9417,11.6506,24.15,18.7792,final
2019-08-11,32692,YE1209,14.8083,12.9742,23.2083,21.2472,final
2019-08-21,32692,YE1209,9.2583,14.1642,24.2333,24.6206,final
2019-09-01,32692,YE1209,9.2083,11.7667,26.0167,26.7547,final
2019-09-11,32692,YE1209,8.8583,9.3261,28.9917,28.6389,final
2019-09-21,32692,YE1209,8.9917,6.0286,31.6083,29.5583,final
2019-10-01,32692,YE1209,8.1833,5.2433,31.3333,28.6606,final
2019-10-11,32692,YE1209,6.8417,4.47,30.5083,26.7703,final
2019-10-21,32692,YE1209,4.5667,4.0192,22.8167,24.2119,final
2019-11-01,32692,YE1209,4.2,3.7,21.5917,20.71,final
2019-11-11,32692,YE1209,4.3833,4.2008,20.0833,17.9969,final
2019-11-21,32692,YE1209,6.3167,4.9231,19.875,14.9708,final
2019-12-01,32692,YE1209,6.7583,5.77,19.1417,14.7133,final
2019-12-11,32692,YE1209,7.0667,6.4603,18.2917,15.1311,final
2019-12-21,32692,YE1209,6.4583,6.9031,17.3417,15.8453,final
2020-01-01,32692,YE1209,5.725,6.0397,16.6833,15.5097,final
2020-01-11,32692,YE1209,4.6,4.6856,16.05,15.3467,final
2020-01-21,32692,YE1209,3.65,3.5239,16.425,15.35,final
2020-02-01,32692,YE1209,4.375,4.2636,16.8583,16.0733,final
2020-02-11,32692,YE1209,5.375,5.2517,17.0417,16.3975,final
2020-02-21,32692,YE1209,6.0,6.0361,16.1083,16.4631,final
2020-03-01,32692,YE1209,7.0,7.1036,17.1,17.4069,final
2020-03-11,32692,YE1209,8.0167,8.2903,17.9917,18.2275,final
2020-03-21,32692,YE1209,13.225,9.3744,22.875,18.9344,final
2020-04-01,32692,YE1209,11.2167,7.7603,22.5917,19.1275,final
2020-04-11,32692,YE1209,9.25,5.5064,22.6417,19.0483,final
2020-04-21,32692,YE1209,4.3,3.2972,23.525,18.7078,final
2020-05-01,32692,YE1209,5.875,3.4144,24.0917,18.2783,final
2020-05-11,32692,YE1209,6.4083,4.4025,23.675,18.1992,final
2020-05-21,32692,YE1209,9.35,5.1147,26.875,17.7864,final
2020-06-01,32692,YE1209,8.075,3.7911,25.1667,14.9658,final
2020-06-11,32692,YE1209,6.5417,1.9344,22.2,11.8433,final
2020-06-21,32692,YE1209,2.8167,1.0908,16.4667,9.5028,final
2020-07-01,32692,YE1209,6.7333,3.3375,20.6833,10.5431,final
2020-07-11,32692,YE1209,10.7167,6.3386,23.6667,12.6756,final
2020-07-21,32692,YE1209,23.325,9.3656,35.4917,15.5711,final
2020-08-01,32692,YE1209,23.2833,11.6506,38.0917,18.7792,final
2020-08-11,32692,YE1209,23.25,12.9742,40.5083,21.2472,final
2020-08-21,32692,YE1209,13.425,14.1642,39.5667,24.6206,final
2020-09-01,32692,YE1209,11.4417,11.7667,41.4583,26.7547,final
2020-09-11,32692,YE1209,10.0083,9.3261,43.975,28.6389,final
2020-09-21,32692,YE1209,7.4917,6.0286,44.2417,29.5583,final
2020-10-01,32692,YE1209,5.3083,5.2433,40.0333,28.6606,final
2020-10-11,32692,YE1209,3.7417,4.47,37.0,26.7703,final
2020-10-21,32692,YE1209,3.0,4.0192,23.9167,24.2119,final
2020-11-01,32692,YE1209,3.0,3.7,19.75,20.71,final
2020-11-11,32692,YE1209,3.825,4.2008,17.575,17.9969,final
2020-11-21,32692,YE1209,5.1917,4.9231,15.6833,14.9708,final
2020-12-01,32692,YE1209,6.1917,5.77,14.5,14.7133,final
2020-12-11,32692,YE1209,7.7583,6.4603,15.325,15.1311,final
2020-12-21,32692,YE1209,7.7167,6.9031,15.9083,15.8453,final
2021-01-01,32692,YE1209,6.9917,6.0397,16.1833,15.5097,final
2021-01-11,32692,YE1209,4.6,4.6856,16.1833,15.3467,final
2021-01-21,32692,YE1209,3.5583,3.5239,16.4667,15.35,final
2021-02-01,32692,YE1209,4.2833,4.2636,17.4667,16.0733,final
2021-02-11,32692,YE1209,5.2833,5.2517,17.6417,16.3975,final
2021-02-21,32692,YE1209,6.0,6.0361,17.275,16.4631,final
2021-03-01,32692,YE1209,7.0167,7.1036,18.2917,17.4069,final
2021-03-11,32692,YE1209,8.0417,8.2903,17.925,18.2275,final
2021-03-21,32692,YE1209,8.8167,9.3744,18.375,18.9344,final
2021-04-01,32692,YE1209,6.7917,7.7603,18.0917,19.1275,final
2021-04-11,32692,YE1209,4.2333,5.5064,17.5583,19.0483,final
2021-04-21,32692,YE1209,3.9333,3.2972,18.75,18.7078,final
2021-05-01,32692,YE1209,7.9917,3.4144,21.8,18.2783,final
2021-05-11,32692,YE1209,9.6917,4.4025,21.9667,18.1992,final
2021-05-21,32692,YE1209,8.5417,5.1147,21.2917,17.7864,final
2021-06-01,32692,YE1209,3.6,3.7911,18.3833,14.9658,final
2021-06-11,32692,YE1209,1.4333,1.9344,15.3583,11.8433,final
2021-06-21,32692,YE1209,0.7667,1.0908,13.2417,9.5028,final
2021-07-01,32692,YE1209,2.7167,3.3375,14.3083,10.5431,final
2021-07-11,32692,YE1209,13.9417,6.3386,25.0667,12.6756,final
2021-07-21,32692,YE1209,19.7583,9.3656,29.0667,15.5711,final
2021-08-01,32692,YE1209,23.7917,11.6506,30.1083,18.7792,final
2021-08-11,32692,YE1209,15.4667,12.9742,30.8417,21.2472,final
2021-08-21,32692,YE1209,13.2083,14.1642,33.7333,24.6206,final
2021-09-01,32692,YE1209,13.25,11.7667,39.7583,26.7547,final
2021-09-11,32692,YE1209,12.55,9.3261,41.9583,28.6389,final
2021-09-21,32692,YE1209,12.0,6.0286,44.9667,29.5583,final
2021-10-01,32692,YE1209,10.1833,5.2433,47.225,28.6606,final
2021-10-11,32692,YE1209,10.125,4.47,38.1417,26.7703,final
2021-10-21,32692,YE1209,7.4583,4.0192,32.6667,24.2119,final
2021-11-01,32692,YE1209,4.1417,3.7,27.575,20.71,final
2021-11-11,32692,YE1209,3.7917,4.2008,26.4667,17.9969,final
2021-11-21,32692,YE1209,4.75,4.9231,24.2083,14.9708,final
2021-12-01,32692,YE1209,5.75,5.77,20.075,14.7133,final
2021-12-11,32692,YE1209,6.0833,6.4603,20.0,15.1311,final
2021-12-21,32692,YE1209,6.4667,6.9031,18.675,15.8453,final
2022-01-01,32692,YE1209,5.9083,6.0397,15.8,15.5097,final
2022-01-11,32692,YE1209,4.7833,4.6856,14.6583,15.3467,final
2022-01-21,32692,YE1209,3.875,3.5239,15.0917,15.35,final
2022-02-01,32692,YE1209,4.4333,4.2636,16.0917,16.0733,final
2022-02-11,32692,YE1209,5.4333,5.2517,16.3,16.3975,final
2022-02-21,32692,YE1209,6.0,6.0361,16.3417,16.4631,final
2022-03-01,32692,YE1209,7.0,7.1036,17.3417,17.4069,final
2022-03-11,32692,YE1209,8.0417,8.2903,18.2583,18.2275,final
2022-03-21,32692,YE1209,8.8167,9.3744,18.6917,18.9344,final
2022-04-01,32692,YE1209,6.8417,7.7603,18.275,19.1275,final
2022-04-11,32692,YE1209,4.2667,5.5064,17.7417,19.0483,final
2022-04-21,32692,YE1209,3.6083,3.2972,18.425,18.7078,final
2022-05-01,32692,YE1209,3.95,3.4144,17.7917,18.2783,final
2022-05-11,32692,YE1209,4.95,4.4025,17.2583,18.1992,final
2022-05-21,32692,YE1209,4.1667,5.1147,16.5917,17.7864,final
2022-06-01,32692,YE1209,3.45,3.7911,14.2417,14.9658,final
2022-06-11,32692,YE1209,1.9833,1.9344,11.2,11.8433,final
2022-06-21,32692,YE1209,1.3083,1.0908,9.0833,9.5028,final
2022-07-01,32692,YE1209,5.1083,3.3375,12.5083,10.5431,final
2022-07-11,32692,YE1209,13.3667,6.3386,20.3,12.6756,final
2022-07-21,32692,YE1209,21.3917,9.3656,26.8667,15.5711,final
2022-08-01,32692,YE1209,21.1583,11.6506,29.7167,18.7792,final
2022-08-11,32692,YE1209,23.7,12.9742,39.05,21.2472,final
2022-08-21,32692,YE1209,24.15,14.1642,46.85,24.6206,final
2022-09-01,32692,YE1209,23.675,11.7667,49.9417,26.7547,final
2022-09-11,32692,YE1209,15.8,9.3261,52.8667,28.6389,final
2022-09-21,32692,YE1209,10.4333,6.0286,55.975,29.5583,final
2022-10-01,32692,YE1209,7.6917,5.2433,52.525,28.6606,final
2022-10-11,32692,YE1209,5.7667,4.47,45.2667,26.7703,final
2022-10-21,32692,YE1209,3.0,4.0192,37.5833,24.2119,final
2022-11-01,32692,YE1209,3.0,3.7,34.3667,20.71,final
2022-11-11,32692,YE1209,3.6167,4.2008,25.1833,17.9969,final
2022-11-21,32692,YE1209,4.6,4.9231,18.0333,14.9708,final
2022-12-01,32692,YE1209,5.6,5.77,16.2917,14.7133,final
2022-12-11,32692,YE1209,6.0417,6.4603,15.425,15.1311,final
2022-12-21,32692,YE1209,6.3917,6.9031,13.9917,15.8453,final
2023-01-01,32692,YE1209,5.5917,6.0397,14.1917,15.5097,prelim
2023-01-11,32692,YE1209,4.5333,4.6856,14.1917,15.3467,prelim
2023-01-21,32692,YE1209,3.475,3.5239,14.4667,15.35,prelim
2023-02-01,32692,YE1209,2.275,4.2636,13.4667,16.0733,prelim